Value,Date,Type_id,Description
235253.9535,2019-01-01 00:00:00+01:00,1,CO2 emission eq.
270766.4755,2019-01-02 00:00:00+01:00,1,CO2 emission eq.
339102.6035,2019-01-03 00:00:00+01:00,1,CO2 emission eq.
393210.6305,2019-01-04 00:00:00+01:00,1,CO2 emission eq.
313972.865,2019-01-05 00:00:00+01:00,1,CO2 emission eq.
244922.43850000002,2019-01-06 00:00:00+01:00,1,CO2 emission eq.
329992.22449999995,2019-01-07 00:00:00+01:00,1,CO2 emission eq.
369931.278,2019-01-08 00:00:00+01:00,1,CO2 emission eq.
336407.3375,2019-01-09 00:00:00+01:00,1,CO2 emission eq.
334595.92699999997,2019-01-10 00:00:00+01:00,1,CO2 emission eq.
358258.315,2019-01-11 00:00:00+01:00,1,CO2 emission eq.
292536.5155,2019-01-12 00:00:00+01:00,1,CO2 emission eq.
277884.10599999997,2019-01-13 00:00:00+01:00,1,CO2 emission eq.
389306.35549999995,2019-01-14 00:00:00+01:00,1,CO2 emission eq.
459366.34249999997,2019-01-15 00:00:00+01:00,1,CO2 emission eq.
463073.3194999999,2019-01-16 00:00:00+01:00,1,CO2 emission eq.
431917.4385,2019-01-17 00:00:00+01:00,1,CO2 emission eq.
453520.16699999996,2019-01-18 00:00:00+01:00,1,CO2 emission eq.
355775.975,2019-01-19 00:00:00+01:00,1,CO2 emission eq.
297353.39300000004,2019-01-20 00:00:00+01:00,1,CO2 emission eq.
397841.0425,2019-01-21 00:00:00+01:00,1,CO2 emission eq.
386921.98299999995,2019-01-22 00:00:00+01:00,1,CO2 emission eq.
279464.9425,2019-01-23 00:00:00+01:00,1,CO2 emission eq.
334287.9199999999,2019-01-24 00:00:00+01:00,1,CO2 emission eq.
354224.8305,2019-01-25 00:00:00+01:00,1,CO2 emission eq.
292589.07899999997,2019-01-26 00:00:00+01:00,1,CO2 emission eq.
165644.416,2019-01-27 00:00:00+01:00,1,CO2 emission eq.
228895.08550000002,2019-01-28 00:00:00+01:00,1,CO2 emission eq.
282406.21,2019-01-29 00:00:00+01:00,1,CO2 emission eq.
289024.315,2019-01-30 00:00:00+01:00,1,CO2 emission eq.
221310.1585,2019-01-31 00:00:00+01:00,1,CO2 emission eq.
201918.8675,2019-02-01 00:00:00+01:00,1,CO2 emission eq.
176207.48349999997,2019-02-02 00:00:00+01:00,1,CO2 emission eq.
196174.02599999998,2019-02-03 00:00:00+01:00,1,CO2 emission eq.
349613.3965,2019-02-04 00:00:00+01:00,1,CO2 emission eq.
387136.20999999996,2019-02-05 00:00:00+01:00,1,CO2 emission eq.
382497.03800000006,2019-02-06 00:00:00+01:00,1,CO2 emission eq.
348411.882,2019-02-07 00:00:00+01:00,1,CO2 emission eq.
316861.4805,2019-02-08 00:00:00+01:00,1,CO2 emission eq.
226411.7065,2019-02-09 00:00:00+01:00,1,CO2 emission eq.
169005.2765,2019-02-10 00:00:00+01:00,1,CO2 emission eq.
305775.921,2019-02-11 00:00:00+01:00,1,CO2 emission eq.
346935.669,2019-02-12 00:00:00+01:00,1,CO2 emission eq.
356386.714,2019-02-13 00:00:00+01:00,1,CO2 emission eq.
301297.9005,2019-02-14 00:00:00+01:00,1,CO2 emission eq.
317984.05899999995,2019-02-15 00:00:00+01:00,1,CO2 emission eq.
227978.56499999997,2019-02-16 00:00:00+01:00,1,CO2 emission eq.
199482.2305,2019-02-17 00:00:00+01:00,1,CO2 emission eq.
318613.6085,2019-02-18 00:00:00+01:00,1,CO2 emission eq.
378878.48049999995,2019-02-19 00:00:00+01:00,1,CO2 emission eq.
367959.1675,2019-02-20 00:00:00+01:00,1,CO2 emission eq.
330200.37,2019-02-21 00:00:00+01:00,1,CO2 emission eq.
308278.392,2019-02-22 00:00:00+01:00,1,CO2 emission eq.
258132.7835,2019-02-23 00:00:00+01:00,1,CO2 emission eq.
242042.49149999997,2019-02-24 00:00:00+01:00,1,CO2 emission eq.
313236.97900000005,2019-02-25 00:00:00+01:00,1,CO2 emission eq.
292670.952,2019-02-26 00:00:00+01:00,1,CO2 emission eq.
282835.21400000004,2019-02-27 00:00:00+01:00,1,CO2 emission eq.
286728.02199999994,2019-02-28 00:00:00+01:00,1,CO2 emission eq.
279930.86449999997,2019-03-01 00:00:00+01:00,1,CO2 emission eq.
197900.7225,2019-03-02 00:00:00+01:00,1,CO2 emission eq.
165496.3945,2019-03-03 00:00:00+01:00,1,CO2 emission eq.
189091.471,2019-03-04 00:00:00+01:00,1,CO2 emission eq.
220267.725,2019-03-05 00:00:00+01:00,1,CO2 emission eq.
169217.65800000002,2019-03-06 00:00:00+01:00,1,CO2 emission eq.
230964.6195,2019-03-07 00:00:00+01:00,1,CO2 emission eq.
267639.70550000004,2019-03-08 00:00:00+01:00,1,CO2 emission eq.
210642.334,2019-03-09 00:00:00+01:00,1,CO2 emission eq.
177796.686,2019-03-10 00:00:00+01:00,1,CO2 emission eq.
239867.098,2019-03-11 00:00:00+01:00,1,CO2 emission eq.
223909.40399999998,2019-03-12 00:00:00+01:00,1,CO2 emission eq.
181520.8685,2019-03-13 00:00:00+01:00,1,CO2 emission eq.
236443.35200000004,2019-03-14 00:00:00+01:00,1,CO2 emission eq.
257757.2165,2019-03-15 00:00:00+01:00,1,CO2 emission eq.
201819.0425,2019-03-16 00:00:00+01:00,1,CO2 emission eq.
157456.085,2019-03-17 00:00:00+01:00,1,CO2 emission eq.
207244.01,2019-03-18 00:00:00+01:00,1,CO2 emission eq.
