Value,Date
582949.81,2019-01-01 00:00:00+01:00
742199.41,2019-01-02 00:00:00+01:00
787764.96,2019-01-03 00:00:00+01:00
796010.04,2019-01-04 00:00:00+01:00
721029.65,2019-01-05 00:00:00+01:00
661772.17,2019-01-06 00:00:00+01:00
764920.77,2019-01-07 00:00:00+01:00
844559.08,2019-01-08 00:00:00+01:00
846151.45,2019-01-09 00:00:00+01:00
857323.12,2019-01-10 00:00:00+01:00
867181.89,2019-01-11 00:00:00+01:00
775170.71,2019-01-12 00:00:00+01:00
722271.17,2019-01-13 00:00:00+01:00
835752.36,2019-01-14 00:00:00+01:00
846245.53,2019-01-15 00:00:00+01:00
847911.82,2019-01-16 00:00:00+01:00
849875.83,2019-01-17 00:00:00+01:00
848781.94,2019-01-18 00:00:00+01:00
766537.72,2019-01-19 00:00:00+01:00
705583.36,2019-01-20 00:00:00+01:00
828406.84,2019-01-21 00:00:00+01:00
864855.3,2019-01-22 00:00:00+01:00
854462.17,2019-01-23 00:00:00+01:00
837075.71,2019-01-24 00:00:00+01:00
815349.83,2019-01-25 00:00:00+01:00
724205.32,2019-01-26 00:00:00+01:00
678249.36,2019-01-27 00:00:00+01:00
807644.38,2019-01-28 00:00:00+01:00
832616.61,2019-01-29 00:00:00+01:00
829785.39,2019-01-30 00:00:00+01:00
823510.84,2019-01-31 00:00:00+01:00
811408.36,2019-02-01 00:00:00+01:00
739149.44,2019-02-02 00:00:00+01:00
696029.79,2019-02-03 00:00:00+01:00
827865.95,2019-02-04 00:00:00+01:00
826264.45,2019-02-05 00:00:00+01:00
813527.16,2019-02-06 00:00:00+01:00
805445.15,2019-02-07 00:00:00+01:00
799019.68,2019-02-08 00:00:00+01:00
719403.84,2019-02-09 00:00:00+01:00
672445.6,2019-02-10 00:00:00+01:00
781692.42,2019-02-11 00:00:00+01:00
799138.41,2019-02-12 00:00:00+01:00
797839.05,2019-02-13 00:00:00+01:00
794299.14,2019-02-14 00:00:00+01:00
790637.8,2019-02-15 00:00:00+01:00
706487.42,2019-02-16 00:00:00+01:00
656688.44,2019-02-17 00:00:00+01:00
779646.84,2019-02-18 00:00:00+01:00
789997.49,2019-02-19 00:00:00+01:00
785631.27,2019-02-20 00:00:00+01:00
781135.56,2019-02-21 00:00:00+01:00
771083.11,2019-02-22 00:00:00+01:00
689175.82,2019-02-23 00:00:00+01:00
637452.6,2019-02-24 00:00:00+01:00
750831.91,2019-02-25 00:00:00+01:00
759697.48,2019-02-26 00:00:00+01:00
756324.91,2019-02-27 00:00:00+01:00
742210.12,2019-02-28 00:00:00+01:00
747742.26,2019-03-01 00:00:00+01:00
670243.0,2019-03-02 00:00:00+01:00
621445.19,2019-03-03 00:00:00+01:00
729814.28,2019-03-04 00:00:00+01:00
745164.11,2019-03-05 00:00:00+01:00
767457.59,2019-03-06 00:00:00+01:00
758178.3,2019-03-07 00:00:00+01:00
748568.79,2019-03-08 00:00:00+01:00
671315.34,2019-03-09 00:00:00+01:00
617758.56,2019-03-10 00:00:00+01:00
726454.29,2019-03-11 00:00:00+01:00
743155.05,2019-03-12 00:00:00+01:00
