Value,percentage,Date
574721.08,1,2020-01-01 00:00:00+01:00
723478.18,1,2020-01-02 00:00:00+01:00
754803.54,1,2020-01-03 00:00:00+01:00
702360.5,1,2020-01-04 00:00:00+01:00
651928.46,1,2020-01-05 00:00:00+01:00
630113.27,1,2020-01-06 00:00:00+01:00
788898.31,1,2020-01-07 00:00:00+01:00
819959.41,1,2020-01-08 00:00:00+01:00
820656.31,1,2020-01-09 00:00:00+01:00
814632.27,1,2020-01-10 00:00:00+01:00
732418.15,1,2020-01-11 00:00:00+01:00
693267.68,1,2020-01-12 00:00:00+01:00
828985.07,1,2020-01-13 00:00:00+01:00
844324.49,1,2020-01-14 00:00:00+01:00
832846.36,1,2020-01-15 00:00:00+01:00
822607.67,1,2020-01-16 00:00:00+01:00
807398.85,1,2020-01-17 00:00:00+01:00
729479.91,1,2020-01-18 00:00:00+01:00
689630.21,1,2020-01-19 00:00:00+01:00
845905.29,1,2020-01-20 00:00:00+01:00
862094.34,1,2020-01-21 00:00:00+01:00
841220.56,1,2020-01-22 00:00:00+01:00
829231.03,1,2020-01-23 00:00:00+01:00
820898.14,1,2020-01-24 00:00:00+01:00
734064.68,1,2020-01-25 00:00:00+01:00
676176.63,1,2020-01-26 00:00:00+01:00
807054.99,1,2020-01-27 00:00:00+01:00
805945.38,1,2020-01-28 00:00:00+01:00
791109.54,1,2020-01-29 00:00:00+01:00
776974.93,1,2020-01-30 00:00:00+01:00
764992.35,1,2020-01-31 00:00:00+01:00
681452.4,1,2020-02-01 00:00:00+01:00
624988.59,1,2020-02-02 00:00:00+01:00
729341.54,1,2020-02-03 00:00:00+01:00
747765.51,1,2020-02-04 00:00:00+01:00
758854.09,1,2020-02-05 00:00:00+01:00
769763.38,1,2020-02-06 00:00:00+01:00
772479.17,1,2020-02-07 00:00:00+01:00
698200.78,1,2020-02-08 00:00:00+01:00
646778.45,1,2020-02-09 00:00:00+01:00
749451.4,1,2020-02-10 00:00:00+01:00
760645.78,1,2020-02-11 00:00:00+01:00
766014.27,1,2020-02-12 00:00:00+01:00
759505.08,1,2020-02-13 00:00:00+01:00
753814.77,1,2020-02-14 00:00:00+01:00
675763.22,1,2020-02-15 00:00:00+01:00
625446.52,1,2020-02-16 00:00:00+01:00
739635.08,1,2020-02-17 00:00:00+01:00
766043.4,1,2020-02-18 00:00:00+01:00
764240.48,1,2020-02-19 00:00:00+01:00
763299.1,1,2020-02-20 00:00:00+01:00
753731.52,1,2020-02-21 00:00:00+01:00
672048.78,1,2020-02-22 00:00:00+01:00
620836.61,1,2020-02-23 00:00:00+01:00
730819.51,1,2020-02-24 00:00:00+01:00
743806.2,1,2020-02-25 00:00:00+01:00
753410.2,1,2020-02-26 00:00:00+01:00
751124.42,1,2020-02-27 00:00:00+01:00
728274.5,1,2020-02-28 00:00:00+01:00
670249.52,1,2020-02-29 00:00:00+01:00
626587.43,1,2020-03-01 00:00:00+01:00
740452.25,1,2020-03-02 00:00:00+01:00
767922.42,1,2020-03-03 00:00:00+01:00
757559.87,1,2020-03-04 00:00:00+01:00
752879.05,1,2020-03-05 00:00:00+01:00
756350.54,1,2020-03-06 00:00:00+01:00
681845.28,1,2020-03-07 00:00:00+01:00
628757.67,1,2020-03-08 00:00:00+01:00
738706.31,1,2020-03-09 00:00:00+01:00
745855.46,1,2020-03-10 00:00:00+01:00
740762.34,1,2020-03-11 00:00:00+01:00
736363.78,1,2020-03-12 00:00:00+01:00
728091.79,1,2020-03-13 00:00:00+01:00
644700.49,1,2020-03-14 00:00:00+01:00
598722.66,1,2020-03-15 00:00:00+01:00
702588.06,1,2020-03-16 00:00:00+01:00
703780.47,1,2020-03-17 00:00:00+01:00
683062.27,1,2020-03-18 00:00:00+01:00
640186.24,1,2020-03-19 00:00:00+01:00
645429.81,1,2020-03-20 00:00:00+01:00
610836.47,1,2020-03-21 00:00:00+01:00
581606.39,1,2020-03-22 00:00:00+01:00
651289.51,1,2020-03-23 00:00:00+01:00
662046.48,1,2020-03-24 00:00:00+01:00
662589.16,1,2020-03-25 00:00:00+01:00
658767.22,1,2020-03-26 00:00:00+01:00
664824.6,1,2020-03-27 00:00:00+01:00
603211.65,1,2020-03-28 00:00:00+01:00
537245.0,1,2020-03-29 00:00:00+01:00
604447.73,1,2020-03-30 00:00:00+02:00
604858.9,1,2020-03-31 00:00:00+02:00
598364.67,1,2020-04-01 00:00:00+02:00
597332.8,1,2020-04-02 00:00:00+02:00
583170.94,1,2020-04-03 00:00:00+02:00
541557.67,1,2020-04-04 00:00:00+02:00
517699.52,1,2020-04-05 00:00:00+02:00
567320.54,1,2020-04-06 00:00:00+02:00
566453.96,1,2020-04-07 00:00:00+02:00
554075.82,1,2020-04-08 00:00:00+02:00
529107.78,1,2020-04-09 00:00:00+02:00
509728.95,1,2020-04-10 00:00:00+02:00
517352.5,1,2020-04-11 00:00:00+02:00
499752.42,1,2020-04-12 00:00:00+02:00
536625.18,1,2020-04-13 00:00:00+02:00
582375.42,1,2020-04-14 00:00:00+02:00
601814.34,1,2020-04-15 00:00:00+02:00
601729.62,1,2020-04-16 00:00:00+02:00
596044.47,1,2020-04-17 00:00:00+02:00
550200.46,1,2020-04-18 00:00:00+02:00
517178.77,1,2020-04-19 00:00:00+02:00
582801.63,1,2020-04-20 00:00:00+02:00
607392.43,1,2020-04-21 00:00:00+02:00
606142.98,1,2020-04-22 00:00:00+02:00
597168.25,1,2020-04-23 00:00:00+02:00
592161.92,1,2020-04-24 00:00:00+02:00
553587.65,1,2020-04-25 00:00:00+02:00
519877.95,1,2020-04-26 00:00:00+02:00
588388.04,1,2020-04-27 00:00:00+02:00
599414.88,1,2020-04-28 00:00:00+02:00
597619.44,1,2020-04-29 00:00:00+02:00
590232.92,1,2020-04-30 00:00:00+02:00
523007.76,1,2020-05-01 00:00:00+02:00
526919.9,1,2020-05-02 00:00:00+02:00
507064.59,1,2020-05-03 00:00:00+02:00
583061.47,1,2020-05-04 00:00:00+02:00
605000.03,1,2020-05-05 00:00:00+02:00
608227.56,1,2020-05-06 00:00:00+02:00
603849.05,1,2020-05-07 00:00:00+02:00
596939.9,1,2020-05-08 00:00:00+02:00
546886.3,1,2020-05-09 00:00:00+02:00
513240.82,1,2020-05-10 00:00:00+02:00
590740.2,1,2020-05-11 00:00:00+02:00
616248.47,1,2020-05-12 00:00:00+02:00
615176.14,1,2020-05-13 00:00:00+02:00
618386.98,1,2020-05-14 00:00:00+02:00
606696.22,1,2020-05-15 00:00:00+02:00
553430.97,1,2020-05-16 00:00:00+02:00
516969.47,1,2020-05-17 00:00:00+02:00
594321.05,1,2020-05-18 00:00:00+02:00
612679.27,1,2020-05-19 00:00:00+02:00
620106.56,1,2020-05-20 00:00:00+02:00
627706.32,1,2020-05-21 00:00:00+02:00
630602.86,1,2020-05-22 00:00:00+02:00
579189.22,1,2020-05-23 00:00:00+02:00
538097.55,1,2020-05-24 00:00:00+02:00
624822.9,1,2020-05-25 00:00:00+02:00
640115.76,1,2020-05-26 00:00:00+02:00
643185.03,1,2020-05-27 00:00:00+02:00
639556.82,1,2020-05-28 00:00:00+02:00
638401.28,1,2020-05-29 00:00:00+02:00
579805.83,1,2020-05-30 00:00:00+02:00
536342.64,1,2020-05-31 00:00:00+02:00
629144.88,1,2020-06-01 00:00:00+02:00
656726.62,1,2020-06-02 00:00:00+02:00
664153.58,1,2020-06-03 00:00:00+02:00
652985.2,1,2020-06-04 00:00:00+02:00
642917.87,1,2020-06-05 00:00:00+02:00
585374.25,1,2020-06-06 00:00:00+02:00
538701.63,1,2020-06-07 00:00:00+02:00
623672.15,1,2020-06-08 00:00:00+02:00
644277.56,1,2020-06-09 00:00:00+02:00
655646.75,1,2020-06-10 00:00:00+02:00
652470.58,1,2020-06-11 00:00:00+02:00
649040.1,1,2020-06-12 00:00:00+02:00
584370.61,1,2020-06-13 00:00:00+02:00
544088.15,1,2020-06-14 00:00:00+02:00
23045.72,1,2020-06-15 00:00:00+02:00
