"Date","Coal_value","Coal_percentage","Cogeneration_value","Cogeneration_percentage","Combined_Cycle_value","Combined_Cycle_percentage","Gas_value","Gas_percentage","Hydro_value","Hydro_percentage","Hydroeolian_value","Hydroeolian_percentage","Non_Renewable_Waste_value","Non_Renewable_Waste_percentage","Nuclear_value","Nuclear_percentage","Other_Renewables_value","Other_Renewables_percentage","Solar_photovoltaic_value","Solar_photovoltaic_percentage","Pumped_storage_value","Pumped_storage_percentage","Renewable_Waste_value","Renewable_Waste_percentage","Thermal_Solar_value","Thermal_Solar_percentage","Wind_value","Wind_percentage"
"2020-01-01 00:00:00",8634.14,0.0145007,58759.6,0.0986843,119851,0.201284,11018.3,0.0185048,151453,0.254359,25.172,0.0000422753,4197.04,0.00704875,170553,0.286436,8373.5,0.0140629,22623.5,0.0379952,8651.68,0.0145301,2454.44,0.00412213,5311.29,0.00892009,23525.4,0.0395099
"2020-01-02 00:00:00",13529,0.0191121,73625.2,0.104008,146488,0.206939,14319.8,0.0202293,159153,0.224832,21.048,0.000029734,3842.66,0.00542842,170548,0.240929,8407.68,0.0118773,18953.8,0.0267755,15524.8,0.0219315,2115.27,0.00298819,3922.5,0.00554121,77426.1,0.109378
"2020-01-03 00:00:00",15005.7,0.0218808,81302.2,0.118552,121441,0.17708,14408.1,0.0210093,151991,0.221628,21.957,0.0000320169,4502.35,0.00656515,170574,0.248725,9180.2,0.0133862,17334.2,0.025276,13097.6,0.0190984,2115.97,0.00308542,721.767,0.00105245,84099,0.12263
"2020-01-04 00:00:00",14957.9,0.0222384,77321.9,0.114957,85075.7,0.126485,12473.7,0.0185451,139864,0.207941,14.807,0.0000220141,4957.34,0.00737025,170643,0.2537,9549.71,0.0141979,21737.3,0.0323176,5359.33,0.0079679,2221.63,0.00330298,3118.44,0.00463629,125320,0.186318
"2020-01-05 00:00:00",19109.5,0.0312453,75671.2,0.123728,88257.1,0.144306,11409.9,0.0186559,126798,0.207323,20.221,0.0000330627,4856.18,0.00794019,170645,0.279017,10019.4,0.0163825,26551.3,0.0434132,8651.03,0.014145,2247.09,0.00367415,5549.66,0.00907407,61809.4,0.101063
"2020-01-06 00:00:00",15556.7,0.0253053,77940.5,0.126782,105271,0.171238,11274.6,0.0183397,130281,0.21192,48.745,0.0000792908,5024.04,0.00817233,170651,0.277589,10464.3,0.0170217,24591.5,0.0400015,4635.54,0.00754038,2336.04,0.0037999,6446.6,0.0104863,50241.5,0.081725
"2020-01-07 00:00:00",22965.7,0.0311404,84953.1,0.115193,173583,0.235371,13847.3,0.0187763,145549,0.197358,57.543,0.0000780257,5077.41,0.00688474,170602,0.231329,10823.7,0.0146765,26243.1,0.0355845,19108.9,0.0259108,2324.33,0.00315168,6902.19,0.00935906,55450.1,0.0751878
"2020-01-08 00:00:00",28288.4,0.038541,86005.1,0.117176,167533,0.228252,13910,0.0189514,148853,0.202802,51.217,0.0000697796,4452.49,0.0060662,170583,0.232408,11437.6,0.015583,25781.7,0.0351257,9671.04,0.0131761,1871,0.00254911,6291.06,0.00857113,59253.5,0.0807288
"2020-01-09 00:00:00",27335.2,0.0365686,83637.5,0.111889,138267,0.184972,12903.5,0.0172621,132274,0.176954,83.063,0.000111121,4140.68,0.00553935,170594,0.228218,10871.7,0.014544,22082.8,0.0295421,4059.63,0.00543093,1464.6,0.00195932,4373.75,0.00585114,135416,0.181158
"2020-01-10 00:00:00",34561.9,0.0446898,83566.2,0.108054,111137,0.143704,13699.4,0.0177138,137018,0.177169,83.152,0.000107518,4372.63,0.00565395,170625,0.220624,10085.2,0.0130405,22775.1,0.029449,6620.05,0.00855995,1670.86,0.00216048,3328.7,0.00430412,173832,0.22477
"2020-01-11 00:00:00",34701.2,0.0523163,78427.1,0.118239,116918,0.176268,14499.1,0.0218592,110948,0.167268,73.856,0.000111347,4758.64,0.00717425,170609,0.257214,10667.3,0.0160823,28583.6,0.0430934,4418.73,0.00666178,1695.78,0.0025566,7635.45,0.0115114,79359.4,0.119644
"2020-01-12 00:00:00",34886.9,0.0537084,76774.6,0.118194,127041,0.195579,13984.6,0.0215293,107684,0.165779,40.872,0.0000629224,4963.94,0.00764198,170594,0.262629,10416.1,0.0160357,28924.3,0.044529,6491.02,0.00999292,1665.86,0.00256459,7676.85,0.0118185,58418.1,0.0899347
"2020-01-13 00:00:00",36505.8,0.0476096,80290.2,0.104712,157491,0.205395,14757.9,0.0192468,132529,0.172839,19.52,0.0000254573,5859.18,0.00764135,170689,0.222606,10479.6,0.0136672,23047.2,0.0300574,4847.37,0.00632178,1656.98,0.00216098,2711.19,0.00353585,125890,0.164181
"2020-01-14 00:00:00",23060.3,0.0306634,78871.1,0.104875,96176.7,0.127887,14827.5,0.0197163,126498,0.168205,37.667,0.000050086,5910.49,0.00785921,170809,0.227126,11775.4,0.0156578,24896.7,0.0331052,5427.95,0.00721758,1603.59,0.0021323,1884.4,0.0025057,190267,0.253
"2020-01-15 00:00:00",26064.9,0.0342741,79718.1,0.104826,121274,0.15947,14706.4,0.0193383,110952,0.145896,15.526,0.000020416,5777.97,0.00759777,170795,0.224587,11423.4,0.0150212,19953.3,0.0262377,4501.95,0.00591985,1715.08,0.00225526,2209.25,0.00290506,191376,0.251651
"2020-01-16 00:00:00",30503.3,0.0389636,79545.9,0.101608,109327,0.139649,14417.3,0.0184161,104132,0.133013,2.929,0.00000374138,5780.45,0.0073837,170804,0.218178,11865,0.0151558,29023.2,0.037073,11440.7,0.0146139,1816.73,0.00232061,5631.6,0.00719356,208577,0.266427
"2020-01-17 00:00:00",33471.3,0.0432612,80489,0.104031,112382,0.145251,13883.4,0.0179441,96850.7,0.125178,6.205,0.00000801987,5894.19,0.00761816,170847,0.220817,12008,0.0155202,22789.3,0.0294548,15654.7,0.0202335,1841.7,0.00238037,1155.43,0.00149337,206431,0.266809
"2020-01-18 00:00:00",26726.8,0.0391944,75384,0.110549,86974.9,0.127547,12769.3,0.0187259,79830.1,0.11707,5.038,0.00000738814,6074.93,0.00890878,170794,0.250467,11792.1,0.017293,10135.4,0.0148634,4614.2,0.00676665,1817.34,0.0026651,77.868,0.000114192,194907,0.285828
"2020-01-19 00:00:00",20810.5,0.0264037,73080.5,0.092722,54644.9,0.0693316,10593.5,0.0134406,82585.9,0.104782,12.926,0.0000164001,5818.99,0.00738294,170784,0.216684,11150,0.0141468,16308.9,0.0206922,9280.48,0.0117748,1717.04,0.00217853,1788.44,0.00226912,329592,0.418175
"2020-01-20 00:00:00",28802.7,0.0327321,78986.7,0.0897625,87207.4,0.0991048,12713.7,0.0144481,108492,0.123293,67.371,0.0000765622,5883.57,0.00668624,167840,0.190737,10838.3,0.012317,11251.5,0.0127865,18483.6,0.0210053,1899.56,0.00215871,483.58,0.000549553,347002,0.394342
"2020-01-21 00:00:00",27821.6,0.0325382,77891.5,0.0910967,133953,0.156662,15084.2,0.0176414,111451,0.130346,24.104,0.0000281904,6365.03,0.00744411,170732,0.199677,10818.6,0.0126527,9221.21,0.0107845,12522.5,0.0146454,2409.78,0.00281832,578.589,0.000676679,276168,0.322988
"2020-01-22 00:00:00",27942.9,0.0345989,79647.7,0.0986198,174277,0.215789,15293.7,0.0189366,142535,0.176487,8.135,0.0000100728,6180.98,0.00765329,170864,0.211564,11092.3,0.0137345,13178.8,0.016318,8682.63,0.0107508,2335.66,0.00289201,40.5,0.0000501471,155545,0.192596
"2020-01-23 00:00:00",45923.5,0.0593678,83533.1,0.107988,205541,0.265714,15014.3,0.0194098,139534,0.180383,6.731,0.00000870153,6460.55,0.0083519,170777,0.220773,10699.6,0.0138319,14360.8,0.018565,607.525,0.000785381,2497.1,0.00322813,89.757,0.000116034,78496.4,0.101477
"2020-01-24 00:00:00",47491.8,0.0620937,84498.7,0.110479,210318,0.274983,14370.3,0.0187886,144073,0.188371,10.86,0.000014199,6307.04,0.00824621,170697,0.22318,10869.6,0.0142115,12308.5,0.0160929,1499.85,0.00196099,2310.21,0.00302051,260.095,0.000340064,59825.5,0.0782195
"2020-01-25 00:00:00",41292,0.0628029,81640.5,0.124171,145517,0.221323,13803.4,0.0209942,127943,0.194594,19.093,0.0000290394,6396.99,0.00972948,170802,0.25978,11061.6,0.0168241,10222.9,0.0155485,870.349,0.00132375,2316.55,0.00352335,12.97,0.0000197267,45587.2,0.0693357
"2020-01-26 00:00:00",22964.7,0.0351004,75907.9,0.116022,98796.6,0.151006,12555.4,0.0191903,98837.1,0.151068,12.464,0.0000190507,6428.92,0.00982633,170888,0.261195,10713,0.0163744,23176.8,0.0354248,177.384,0.000271124,2404.96,0.00367588,2323.05,0.00355068,129069,0.197276
"2020-01-27 00:00:00",22712.5,0.028292,77970,0.0971238,119046,0.14829,13100.5,0.0163187,92189.9,0.114837,12.127,0.0000151061,6349.38,0.00790914,170849,0.212819,10857.8,0.0135251,21853.8,0.0272224,2775.87,0.00345777,2371.72,0.00295435,1603.03,0.00199683,261099,0.325239
