"Date","Coal_percentage","Cogeneration_percentage","Combined_Cycle_percentage","Gas_percentage","Hydro_percentage","Hydroeolian_percentage","Non_Renewable_Waste_percentage","Nuclear_percentage","Other_Renewables_percentage","Solar_photovoltaic_percentage","Pumped_storage_percentage","Renewable_Waste_percentage","Thermal_Solar_percentage","Wind_percentage"
"2020-01-01 00:00:00",0.0145007,0.0986843,0.201284,0.0185048,0.254359,0.0000422753,0.00704875,0.286436,0.0140629,0.0379952,0.0145301,0.00412213,0.00892009,0.0395099
"2020-01-02 00:00:00",0.0191121,0.104008,0.206939,0.0202293,0.224832,0.000029734,0.00542842,0.240929,0.0118773,0.0267755,0.0219315,0.00298819,0.00554121,0.109378
"2020-01-03 00:00:00",0.0218808,0.118552,0.17708,0.0210093,0.221628,0.0000320169,0.00656515,0.248725,0.0133862,0.025276,0.0190984,0.00308542,0.00105245,0.12263
"2020-01-04 00:00:00",0.0222384,0.114957,0.126485,0.0185451,0.207941,0.0000220141,0.00737025,0.2537,0.0141979,0.0323176,0.0079679,0.00330298,0.00463629,0.186318
"2020-01-05 00:00:00",0.0312453,0.123728,0.144306,0.0186559,0.207323,0.0000330627,0.00794019,0.279017,0.0163825,0.0434132,0.014145,0.00367415,0.00907407,0.101063
"2020-01-06 00:00:00",0.0253053,0.126782,0.171238,0.0183397,0.21192,0.0000792908,0.00817233,0.277589,0.0170217,0.0400015,0.00754038,0.0037999,0.0104863,0.081725
"2020-01-07 00:00:00",0.0311404,0.115193,0.235371,0.0187763,0.197358,0.0000780257,0.00688474,0.231329,0.0146765,0.0355845,0.0259108,0.00315168,0.00935906,0.0751878
"2020-01-08 00:00:00",0.038541,0.117176,0.228252,0.0189514,0.202802,0.0000697796,0.0060662,0.232408,0.015583,0.0351257,0.0131761,0.00254911,0.00857113,0.0807288
"2020-01-09 00:00:00",0.0365686,0.111889,0.184972,0.0172621,0.176954,0.000111121,0.00553935,0.228218,0.014544,0.0295421,0.00543093,0.00195932,0.00585114,0.181158
"2020-01-10 00:00:00",0.0446898,0.108054,0.143704,0.0177138,0.177169,0.000107518,0.00565395,0.220624,0.0130405,0.029449,0.00855995,0.00216048,0.00430412,0.22477
"2020-01-11 00:00:00",0.0523163,0.118239,0.176268,0.0218592,0.167268,0.000111347,0.00717425,0.257214,0.0160823,0.0430934,0.00666178,0.0025566,0.0115114,0.119644
"2020-01-12 00:00:00",0.0537084,0.118194,0.195579,0.0215293,0.165779,0.0000629224,0.00764198,0.262629,0.0160357,0.044529,0.00999292,0.00256459,0.0118185,0.0899347
"2020-01-13 00:00:00",0.0476096,0.104712,0.205395,0.0192468,0.172839,0.0000254573,0.00764135,0.222606,0.0136672,0.0300574,0.00632178,0.00216098,0.00353585,0.164181
"2020-01-14 00:00:00",0.0306634,0.104875,0.127887,0.0197163,0.168205,0.000050086,0.00785921,0.227126,0.0156578,0.0331052,0.00721758,0.0021323,0.0025057,0.253
"2020-01-15 00:00:00",0.0342741,0.104826,0.15947,0.0193383,0.145896,0.000020416,0.00759777,0.224587,0.0150212,0.0262377,0.00591985,0.00225526,0.00290506,0.251651
"2020-01-16 00:00:00",0.0389636,0.101608,0.139649,0.0184161,0.133013,0.00000374138,0.0073837,0.218178,0.0151558,0.037073,0.0146139,0.00232061,0.00719356,0.266427
"2020-01-17 00:00:00",0.0432612,0.104031,0.145251,0.0179441,0.125178,0.00000801987,0.00761816,0.220817,0.0155202,0.0294548,0.0202335,0.00238037,0.00149337,0.266809
"2020-01-18 00:00:00",0.0391944,0.110549,0.127547,0.0187259,0.11707,0.00000738814,0.00890878,0.250467,0.017293,0.0148634,0.00676665,0.0026651,0.000114192,0.285828
"2020-01-19 00:00:00",0.0264037,0.092722,0.0693316,0.0134406,0.104782,0.0000164001,0.00738294,0.216684,0.0141468,0.0206922,0.0117748,0.00217853,0.00226912,0.418175
"2020-01-20 00:00:00",0.0327321,0.0897625,0.0991048,0.0144481,0.123293,0.0000765622,0.00668624,0.190737,0.012317,0.0127865,0.0210053,0.00215871,0.000549553,0.394342
"2020-01-21 00:00:00",0.0325382,0.0910967,0.156662,0.0176414,0.130346,0.0000281904,0.00744411,0.199677,0.0126527,0.0107845,0.0146454,0.00281832,0.000676679,0.322988
"2020-01-22 00:00:00",0.0345989,0.0986198,0.215789,0.0189366,0.176487,0.0000100728,0.00765329,0.211564,0.0137345,0.016318,0.0107508,0.00289201,0.0000501471,0.192596
"2020-01-23 00:00:00",0.0593678,0.107988,0.265714,0.0194098,0.180383,0.00000870153,0.0083519,0.220773,0.0138319,0.018565,0.000785381,0.00322813,0.000116034,0.101477
"2020-01-24 00:00:00",0.0620937,0.110479,0.274983,0.0187886,0.188371,0.000014199,0.00824621,0.22318,0.0142115,0.0160929,0.00196099,0.00302051,0.000340064,0.0782195
"2020-01-25 00:00:00",0.0628029,0.124171,0.221323,0.0209942,0.194594,0.0000290394,0.00972948,0.25978,0.0168241,0.0155485,0.00132375,0.00352335,0.0000197267,0.0693357
"2020-01-26 00:00:00",0.0351004,0.116022,0.151006,0.0191903,0.151068,0.0000190507,0.00982633,0.261195,0.0163744,0.0354248,0.000271124,0.00367588,0.00355068,0.197276
"2020-01-27 00:00:00",0.028292,0.0971238,0.14829,0.0163187,0.114837,0.0000151061,0.00790914,0.212819,0.0135251,0.0272224,0.00345777,0.00295435,0.00199683,0.325239
"2020-01-28 00:00:00",0.0455601,0.0990897,0.146647,0.017706,0.132979,0.0000002579,0.0069601,0.220155,0.0144161,0.0195171,0.0100336,0.00306701,0.000681703,0.283187
"2020-01-29 00:00:00",0.0471568,0.101585,0.156716,0.0179779,0.130697,0.000000986729,0.00684695,0.22055,0.0156114,0.0242424,0.0109347,0.00300341,0.00101186,0.263665
"2020-01-30 00:00:00",0.0409381,0.102556,0.14039,0.0194004,0.114968,0.0000161339,0.00650772,0.224737,0.0169497,0.0279606,0.00420993,0.00325449,0.00211902,0.295994
"2020-01-31 00:00:00",0.0428584,0.110522,0.137644,0.0194838,0.128728,0.0000122847,0.00693085,0.233648,0.0155974,0.0293472,0.00910775,0.00338946,0.00125763,0.261473
"2020-02-01 00:00:00",0.0284806,0.105138,0.0833275,0.0160437,0.11895,0.00000125245,0.00747363,0.237019,0.0165143,0.0308848,0.0180005,0.00345988,0.00238536,0.332322
"2020-02-02 00:00:00",0.0367188,0.111804,0.0880921,0.019171,0.130421,0.0000286774,0.00814005,0.260322,0.0174475,0.0477614,0.0103321,0.00377257,0.00969611,0.256293
"2020-02-03 00:00:00",0.0484228,0.113013,0.163153,0.0212707,0.131831,0.0000415055,0.00731938,0.244121,0.0176027,0.0482315,0.0148512,0.00339434,0.0131056,0.173641
"2020-02-04 00:00:00",0.0481127,0.108664,0.130786,0.0200212,0.116045,0.0000449729,0.00729259,0.23075,0.0168344,0.0455655,0.0077078,0.00330837,0.0118117,0.253055
"2020-02-05 00:00:00",0.0372194,0.10972,0.146603,0.0212193,0.134296,0.0000125065,0.00873338,0.229548,0.0167549,0.043615,0.0175116,0.00334506,0.0126268,0.218795
"2020-02-06 00:00:00",0.0469783,0.10847,0.160141,0.0206337,0.1572,0.0000412463,0.00825249,0.226339,0.0168164,0.0422538,0.0158258,0.00308233,0.00710177,0.186864
"2020-02-07 00:00:00",0.0556604,0.114384,0.17398,0.020849,0.181342,0.000108463,0.00869728,0.236056,0.0171239,0.0335351,0.0181022,0.00328073,0.0027125,0.134168
"2020-02-08 00:00:00",0.0601424,0.124242,0.167177,0.0194781,0.173954,0.000140646,0.0100217,0.270273,0.0190781,0.0295684,0.00716491,0.00363447,0.000449292,0.114675
"2020-02-09 00:00:00",0.044088,0.110444,0.104004,0.01746,0.121788,0.000139945,0.00939527,0.259112,0.0172917,0.0414699,0.010975,0.00351748,0.00531026,0.255004
"2020-02-10 00:00:00",0.0445856,0.101233,0.100495,0.01804,0.121756,0.00011768,0.00775767,0.22355,0.0140548,0.0479697,0.00939375,0.00289629,0.0128927,0.295257
"2020-02-11 00:00:00",0.0566074,0.112734,0.175363,0.0217206,0.167898,0.0000359866,0.00786832,0.234325,0.0146332,0.038714,0.00559226,0.00253656,0.0054545,0.156517
"2020-02-12 00:00:00",0.0584911,0.117659,0.216578,0.0209146,0.205023,0.0000230562,0.00684486,0.245318,0.0138305,0.024335,0.0271218,0.00168213,0.00054241,0.0616368
"2020-02-13 00:00:00",0.048818,0.110443,0.169426,0.0197213,0.139055,0.000018263,0.00718194,0.235344,0.0138583,0.0309232,0.00274797,0.00205654,0.000913096,0.219494
"2020-02-14 00:00:00",0.0369448,0.11842,0.201047,0.0210495,0.181831,0.00000835776,0.00748229,0.241153,0.0173224,0.0506201,0.0170134,0.00218447,0.0102665,0.0946565
"2020-02-15 00:00:00",0.0318238,0.117335,0.140682,0.0180592,0.12656,0.000031492,0.00826673,0.264551,0.0200042,0.0577117,0.00626041,0.00241192,0.0158714,0.190431
"2020-02-16 00:00:00",0.0319642,0.106535,0.0855065,0.0170239,0.0975213,0.000131839,0.00813166,0.260482,0.0181093,0.0571633,0.00910137,0.00240093,0.0176928,0.288235
"2020-02-17 00:00:00",0.0362177,0.106775,0.135887,0.0174688,0.123542,0.000119153,0.00857733,0.240943,0.016455,0.0402597,0.00612913,0.002892,0.00674336,0.257991
"2020-02-18 00:00:00",0.0404888,0.111899,0.178477,0.0158287,0.158043,0.000126773,0.00841861,0.240953,0.0166952,0.0374105,0.0167105,0.00324687,0.00765777,0.164045
"2020-02-19 00:00:00",0.0416624,0.112685,0.195033,0.0153977,0.167251,0.000133798,0.00857126,0.239272,0.0158815,0.0505971,0.0127472,0.00319951,0.0139649,0.123604
"2020-02-20 00:00:00",0.0398914,0.10999,0.175238,0.0160849,0.167644,0.00016731,0.00881303,0.236194,0.0173932,0.0592652,0.00879939,0.00326069,0.0154695,0.141788
"2020-02-21 00:00:00",0.0384846,0.111489,0.182107,0.0192036,0.152805,0.0000969072,0.00887411,0.238813,0.0191766,0.0615613,0.00647546,0.00330067,0.0197629,0.137851
"2020-02-22 00:00:00",0.0365612,0.116683,0.176614,0.0189786,0.158405,0.0000530743,0.0101,0.270164,0.0218262,0.0717584,0.000480805,0.00384217,0.0236257,0.0909076
"2020-02-23 00:00:00",0.03925,0.121379,0.156433,0.0212058,0.139096,0.0000508671,0.0104746,0.285665,0.0221861,0.0768462,0.00222072,0.00400345,0.0291231,0.0920657
"2020-02-24 00:00:00",0.0339111,0.114264,0.192954,0.0207645,0.165413,0.0000286771,0.00886898,0.249112,0.0177448,0.0667895,0.00178445,0.00348299,0.0248983,0.0999827
"2020-02-25 00:00:00",0.0348508,0.108337,0.0899509,0.0169124,0.109659,0.0000317114,0.00874418,0.242406,0.0172114,0.0513559,0.00330602,0.00330609,0.00973828,0.30419
"2020-02-26 00:00:00",0.0334351,0.0985141,0.0862254,0.0149551,0.112781,0.000100792,0.00834627,0.222206,0.0148599,0.0581582,0.0142789,0.00281659,0.0178045,0.315518
"2020-02-27 00:00:00",0.034314,0.094409,0.0842797,0.0159299,0.0940831,0.0000350808,0.00734905,0.21269,0.0145706,0.055385,0.0143983,0.00258833,0.0171487,0.352819
"2020-02-28 00:00:00",0.0319992,0.106857,0.118665,0.0208616,0.127142,0.0000128986,0.00853104,0.239318,0.0167439,0.0569164,0.0202939,0.00316052,0.0103236,0.239175
"2020-02-29 00:00:00",0.0145514,0.0921478,0.0565737,0.0154097,0.0727497,0.0000323566,0.0088853,0.179552,0.0170139,0.0368799,0.0180367,0.0033988,0.0022576,0.482512
"2020-03-01 00:00:00",0.0139485,0.086242,0.0530619,0.0145409,0.078637,0.0000701545,0.00838232,0.171436,0.0159478,0.0344227,0.0126836,0.00318327,0.00106487,0.506379
"2020-03-02 00:00:00",0.0177691,0.0868833,0.0504808,0.0155776,0.114786,0.0000899532,0.00681623,0.183729,0.013394,0.0411053,0.016674,0.00259348,0.00222416,0.447877
"2020-03-03 00:00:00",0.0174684,0.0879642,0.0524411,0.013981,0.112416,0.0000643507,0.007103,0.21163,0.0115037,0.0325187,0.0150593,0.00249324,0.00227008,0.433087
"2020-03-04 00:00:00",0.0165319,0.0922851,0.0805306,0.0153394,0.125537,0.0000324202,0.00725714,0.214633,0.011936,0.0397427,0.0135635,0.00253161,0.00756405,0.372515
"2020-03-05 00:00:00",0.0186744,0.0869595,0.0488104,0.0130698,0.109951,0.000117629,0.00723374,0.209693,0.0127303,0.0358353,0.0120439,0.00283597,0.00417144,0.437874
"2020-03-06 00:00:00",0.0175165,0.0841121,0.0418786,0.0129417,0.1146,0.000147249,0.00718717,0.202158,0.0129527,0.0454736,0.0165352,0.0028131,0.0138533,0.427832
"2020-03-07 00:00:00",0.0202917,0.0968346,0.0696194,0.0142165,0.13821,0.000165877,0.00827312,0.236241,0.0155145,0.0585476,0.0264638,0.00316882,0.0187142,0.293739
"2020-03-08 00:00:00",0.015764,0.103743,0.0718472,0.0158246,0.144855,0.000162815,0.0090368,0.255494,0.0172046,0.0658079,0.0116556,0.00331882,0.0212598,0.264026
