"Country","Date","Value","Status","Description"
"Spain","2020-01-01 00:00:00",574721,0,"No measures"
"Spain","2020-01-02 00:00:00",723478,0,"No measures"
"Spain","2020-01-03 00:00:00",754804,0,"No measures"
"Spain","2020-01-04 00:00:00",702360,0,"No measures"
"Spain","2020-01-05 00:00:00",651928,0,"No measures"
"Spain","2020-01-06 00:00:00",630113,0,"No measures"
"Spain","2020-01-07 00:00:00",788898,0,"No measures"
"Spain","2020-01-08 00:00:00",819959,0,"No measures"
"Spain","2020-01-09 00:00:00",820656,0,"No measures"
"Spain","2020-01-10 00:00:00",814632,0,"No measures"
"Spain","2020-01-11 00:00:00",732418,0,"No measures"
"Spain","2020-01-12 00:00:00",693268,0,"No measures"
"Spain","2020-01-13 00:00:00",828985,0,"No measures"
"Spain","2020-01-14 00:00:00",844324,0,"No measures"
"Spain","2020-01-15 00:00:00",832846,0,"No measures"
"Spain","2020-01-16 00:00:00",822608,0,"No measures"
"Spain","2020-01-17 00:00:00",807399,0,"No measures"
"Spain","2020-01-18 00:00:00",729480,0,"No measures"
"Spain","2020-01-19 00:00:00",689630,0,"No measures"
"Spain","2020-01-20 00:00:00",845905,0,"No measures"
"Spain","2020-01-21 00:00:00",862094,0,"No measures"
"Spain","2020-01-22 00:00:00",841221,0,"No measures"
"Spain","2020-01-23 00:00:00",829231,0,"No measures"
"Spain","2020-01-24 00:00:00",820898,0,"No measures"
"Spain","2020-01-25 00:00:00",734065,0,"No measures"
"Spain","2020-01-26 00:00:00",676177,0,"No measures"
"Spain","2020-01-27 00:00:00",807055,0,"No measures"
"Spain","2020-01-28 00:00:00",805945,0,"No measures"
"Spain","2020-01-29 00:00:00",791110,0,"No measures"
"Spain","2020-01-30 00:00:00",776975,0,"No measures"
"Spain","2020-01-31 00:00:00",764992,0,"No measures"
"Spain","2020-02-01 00:00:00",681452,0,"No measures"
"Spain","2020-02-02 00:00:00",624989,0,"No measures"
"Spain","2020-02-03 00:00:00",729342,0,"No measures"
"Spain","2020-02-04 00:00:00",747766,0,"No measures"
"Spain","2020-02-05 00:00:00",758854,0,"No measures"
"Spain","2020-02-06 00:00:00",769763,0,"No measures"
"Spain","2020-02-07 00:00:00",772479,0,"No measures"
"Spain","2020-02-08 00:00:00",698201,0,"No measures"
"Spain","2020-02-09 00:00:00",646778,0,"No measures"
"Spain","2020-02-10 00:00:00",749451,0,"No measures"
"Spain","2020-02-11 00:00:00",760646,0,"No measures"
"Spain","2020-02-12 00:00:00",766014,0,"No measures"
"Spain","2020-02-13 00:00:00",759505,0,"No measures"
"Spain","2020-02-14 00:00:00",753815,0,"No measures"
"Spain","2020-02-15 00:00:00",675763,0,"No measures"
"Spain","2020-02-16 00:00:00",625446,0,"No measures"
"Spain","2020-02-17 00:00:00",739635,0,"No measures"
"Spain","2020-02-18 00:00:00",766043,0,"No measures"
"Spain","2020-02-19 00:00:00",764240,0,"No measures"
"Spain","2020-02-20 00:00:00",763299,0,"No measures"
"Spain","2020-02-21 00:00:00",753732,0,"No measures"
"Spain","2020-02-22 00:00:00",672049,0,"No measures"
"Spain","2020-02-23 00:00:00",620837,0,"No measures"
"Spain","2020-02-24 00:00:00",730820,0,"No measures"
"Spain","2020-02-25 00:00:00",743806,0,"No measures"
"Spain","2020-02-26 00:00:00",753410,0,"No measures"
"Spain","2020-02-27 00:00:00",751124,0,"No measures"
"Spain","2020-02-28 00:00:00",728274,0,"No measures"
"Spain","2020-02-29 00:00:00",670250,0,"No measures"
"Spain","2020-03-01 00:00:00",626587,0,"No measures"
"Spain","2020-03-02 00:00:00",740452,0,"No measures"
"Spain","2020-03-03 00:00:00",767922,0,"No measures"
"Spain","2020-03-04 00:00:00",757560,0,"No measures"
"Spain","2020-03-05 00:00:00",752879,0,"No measures"
"Spain","2020-03-06 00:00:00",756351,0,"No measures"
"Spain","2020-03-07 00:00:00",681845,0,"No measures"
"Spain","2020-03-08 00:00:00",628758,0,"No measures"
"Spain","2020-03-09 00:00:00",738706,0,"No measures"
"Spain","2020-03-10 00:00:00",745855,0,"No measures"
"Spain","2020-03-11 00:00:00",740762,0,"No measures"
"Spain","2020-03-12 00:00:00",736364,0,"No measures"
"Spain","2020-03-13 00:00:00",728092,0,"No measures"
"Spain","2020-03-14 00:00:00",644700,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-03-15 00:00:00",598723,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-03-16 00:00:00",702588,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-03-17 00:00:00",703780,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-03-18 00:00:00",683062,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-03-19 00:00:00",640186,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-03-20 00:00:00",645430,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-03-21 00:00:00",610836,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-03-22 00:00:00",581606,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-03-23 00:00:00",651290,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-03-24 00:00:00",662046,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-03-25 00:00:00",662589,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-03-26 00:00:00",658767,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-03-27 00:00:00",664825,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-03-28 00:00:00",603212,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-03-29 00:00:00",537245,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-03-30 00:00:00",604448,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-03-31 00:00:00",604859,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-01 00:00:00",598365,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-02 00:00:00",597333,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-03 00:00:00",583171,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-04 00:00:00",541558,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-05 00:00:00",517700,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-06 00:00:00",567321,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-07 00:00:00",566454,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-08 00:00:00",554076,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-09 00:00:00",529108,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-10 00:00:00",509729,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-11 00:00:00",517352,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-12 00:00:00",499752,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-13 00:00:00",536625,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-14 00:00:00",582375,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-15 00:00:00",601814,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-16 00:00:00",601730,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-17 00:00:00",596044,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-18 00:00:00",550200,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-19 00:00:00",517179,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-20 00:00:00",582802,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-21 00:00:00",607392,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-22 00:00:00",606143,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-23 00:00:00",597168,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
