"Country","Date","Value","Status","Description"
NULL,"2019-01-01 00:00:00",582950,NULL,NULL
NULL,"2019-01-02 00:00:00",742199,NULL,NULL
NULL,"2019-01-03 00:00:00",787765,NULL,NULL
NULL,"2019-01-04 00:00:00",796010,NULL,NULL
NULL,"2019-01-05 00:00:00",721030,NULL,NULL
NULL,"2019-01-06 00:00:00",661772,NULL,NULL
NULL,"2019-01-07 00:00:00",764921,NULL,NULL
NULL,"2019-01-08 00:00:00",844559,NULL,NULL
NULL,"2019-01-09 00:00:00",846151,NULL,NULL
NULL,"2019-01-10 00:00:00",857323,NULL,NULL
NULL,"2019-01-11 00:00:00",867182,NULL,NULL
NULL,"2019-01-12 00:00:00",775171,NULL,NULL
NULL,"2019-01-13 00:00:00",722271,NULL,NULL
NULL,"2019-01-14 00:00:00",835752,NULL,NULL
NULL,"2019-01-15 00:00:00",846246,NULL,NULL
NULL,"2019-01-16 00:00:00",847912,NULL,NULL
NULL,"2019-01-17 00:00:00",849876,NULL,NULL
NULL,"2019-01-18 00:00:00",848782,NULL,NULL
NULL,"2019-01-19 00:00:00",766538,NULL,NULL
NULL,"2019-01-20 00:00:00",705583,NULL,NULL
NULL,"2019-01-21 00:00:00",828407,NULL,NULL
NULL,"2019-01-22 00:00:00",864855,NULL,NULL
NULL,"2019-01-23 00:00:00",854462,NULL,NULL
NULL,"2019-01-24 00:00:00",837076,NULL,NULL
NULL,"2019-01-25 00:00:00",815350,NULL,NULL
NULL,"2019-01-26 00:00:00",724205,NULL,NULL
NULL,"2019-01-27 00:00:00",678249,NULL,NULL
NULL,"2019-01-28 00:00:00",807644,NULL,NULL
NULL,"2019-01-29 00:00:00",832617,NULL,NULL
NULL,"2019-01-30 00:00:00",829785,NULL,NULL
NULL,"2019-01-31 00:00:00",823511,NULL,NULL
NULL,"2019-02-01 00:00:00",811408,NULL,NULL
NULL,"2019-02-02 00:00:00",739149,NULL,NULL
NULL,"2019-02-03 00:00:00",696030,NULL,NULL
NULL,"2019-02-04 00:00:00",827866,NULL,NULL
NULL,"2019-02-05 00:00:00",826264,NULL,NULL
NULL,"2019-02-06 00:00:00",813527,NULL,NULL
NULL,"2019-02-07 00:00:00",805445,NULL,NULL
NULL,"2019-02-08 00:00:00",799020,NULL,NULL
NULL,"2019-02-09 00:00:00",719404,NULL,NULL
NULL,"2019-02-10 00:00:00",672446,NULL,NULL
NULL,"2019-02-11 00:00:00",781692,NULL,NULL
NULL,"2019-02-12 00:00:00",799138,NULL,NULL
NULL,"2019-02-13 00:00:00",797839,NULL,NULL
NULL,"2019-02-14 00:00:00",794299,NULL,NULL
NULL,"2019-02-15 00:00:00",790638,NULL,NULL
NULL,"2019-02-16 00:00:00",706487,NULL,NULL
NULL,"2019-02-17 00:00:00",656688,NULL,NULL
NULL,"2019-02-18 00:00:00",779647,NULL,NULL
NULL,"2019-02-19 00:00:00",789998,NULL,NULL
NULL,"2019-02-20 00:00:00",785631,NULL,NULL
NULL,"2019-02-21 00:00:00",781136,NULL,NULL
NULL,"2019-02-22 00:00:00",771083,NULL,NULL
NULL,"2019-02-23 00:00:00",689176,NULL,NULL
NULL,"2019-02-24 00:00:00",637453,NULL,NULL
NULL,"2019-02-25 00:00:00",750832,NULL,NULL
NULL,"2019-02-26 00:00:00",759698,NULL,NULL
NULL,"2019-02-27 00:00:00",756325,NULL,NULL
NULL,"2019-02-28 00:00:00",742210,NULL,NULL
