"Date","CO2_type_1","CO2_type_2","Demand_value","Status"
"2020-01-01 00:00:00","202459.671875","392970.34375",574721,0
"2020-01-02 00:00:00","251804.328125","456072.5",723478,0
"2020-01-03 00:00:00","236659.03125","449136.0625",754804,0
"2020-01-04 00:00:00","194786.546875","477828.78125",702360,0
"2020-01-05 00:00:00","199303.8125","412291.15625",651928,0
"2020-01-06 00:00:00","215066.4375","399696.21875",630113,0
"2020-01-07 00:00:00","300426.46875","437061.4375",788898,0
"2020-01-08 00:00:00","300189.0625","433793.5625",819959,0
"2020-01-09 00:00:00","266283.9375","481219",820656,0
"2020-01-10 00:00:00","247336.921875","526037.875",814632,0
"2020-01-11 00:00:00","249304.046875","413991.3125",732418,0
"2020-01-12 00:00:00","257650.8125","391910.75",693268,0
"2020-01-13 00:00:00","294904.46875","471868.9375",828985,0
"2020-01-14 00:00:00","218846.109375","533200.0625",844324,0
"2020-01-15 00:00:00","247541.46875","512941.65625",832846,0
"2020-01-16 00:00:00","239573.5625","543293.125",822608,0
"2020-01-17 00:00:00","246119.53125","527583.6875",807399,0
"2020-01-18 00:00:00","207929.921875","473973.5",729480,0
"2020-01-19 00:00:00","164948.328125","623219",689630,0
"2020-01-20 00:00:00","213593.953125","666357.25",845905,0
"2020-01-21 00:00:00","261115.203125","593926.5",862094,0
"2020-01-22 00:00:00","303341.8125","504282.0625",841221,0
"2020-01-23 00:00:00","356472.625","417069.5",829231,0
"2020-01-24 00:00:00","362985.875","401854.96875",820898,0
"2020-01-25 00:00:00","288649.6875","368835.46875",734065,0
"2020-01-26 00:00:00","216653.40625","437601.78125",676177,0
"2020-01-27 00:00:00","239177.84375","563611.875",807055,0
"2020-01-28 00:00:00","245027.40625","530467.1875",805945,0
"2020-01-29 00:00:00","255730.046875","518545.65625",791110,0
"2020-01-30 00:00:00","235388.859375","524439.3125",776975,0
"2020-01-31 00:00:00","231992.46875","498832.71875",764992,0
"2020-02-01 00:00:00","168571.484375","532455.3125",681452,0
"2020-02-02 00:00:00","168162.25","468994.03125",624989,0
"2020-02-03 00:00:00","246784.28125","451967.28125",729342,0
"2020-02-04 00:00:00","232232.5625","505301",747766,0
"2020-02-05 00:00:00","240218.4375","502353.5625",758854,0
"2020-02-06 00:00:00","259761.453125","494317.5625",769763,0
"2020-02-07 00:00:00","270178.46875","453053.0625",772479,0
"2020-02-08 00:00:00","240813.609375","391140.96875",698201,0
"2020-02-09 00:00:00","188116.140625","471035.59375",646778,0
"2020-02-10 00:00:00","205984.71875","551000.8125",749451,0
"2020-02-11 00:00:00","266409.1875","445355.78125",760646,0
"2020-02-12 00:00:00","292200.875","402708.96875",766014,0
"2020-02-13 00:00:00","257458.1875","466572.71875",759505,0
"2020-02-14 00:00:00","272296.71875","435069.90625",753815,0
"2020-02-15 00:00:00","203863.96875","440934.65625",675763,0
"2020-02-16 00:00:00","163187.703125","491760.59375",625446,0
"2020-02-17 00:00:00","215896.171875","492132.53125",739635,0
"2020-02-18 00:00:00","251415.890625","456574.25",766043,0
"2020-02-19 00:00:00","266355.8125","447067.96875",764240,0
"2020-02-20 00:00:00","252744.65625","469346.78125",763299,0
"2020-02-21 00:00:00","257336.015625","457172.34375",753732,0
"2020-02-22 00:00:00","226699.8125","404887",672049,0
"2020-02-23 00:00:00","208291.171875","388971.15625",620837,0
"2020-02-24 00:00:00","253820.265625","430768.65625",730820,0
"2020-02-25 00:00:00","182046.4375","521390.71875",743806,0
"2020-02-26 00:00:00","185386.25","582334.5625",753410,0
"2020-02-27 00:00:00","189553.171875","612680.375",751124,0
"2020-02-28 00:00:00","204309.625","507783.1875",728274,0
"2020-02-29 00:00:00","129305.609375","560075.0625",670250,0
"2020-03-01 00:00:00","124696.125","583098.4375",626587,0
"2020-03-02 00:00:00","137436.0625","636733.5625",740452,0
"2020-03-03 00:00:00","144010.109375","660705.9375",767922,0
"2020-03-04 00:00:00","168534.328125","626648.4375",757560,0
"2020-03-05 00:00:00","142299.90625","672015.5",752879,0
"2020-03-06 00:00:00","138255.3125","706640.3125",756351,0
"2020-03-07 00:00:00","151293.578125","571785.0625",681845,0
"2020-03-08 00:00:00","144553.234375","524007.75",628758,0
"2020-03-09 00:00:00","181787.03125","599449.125",738706,0
"2020-03-10 00:00:00","187439.546875","533626.9375",745855,0
"2020-03-11 00:00:00","217871.265625","460930.90625",740762,0
"2020-03-12 00:00:00","213870.03125","460045.15625",736364,0
"2020-03-13 00:00:00","192808.609375","502651.9375",728092,0
"2020-03-14 00:00:00","197938.15625","418593",644700,2
"2020-03-15 00:00:00","173543.84375","471927",598723,2
"2020-03-16 00:00:00","156895.75","586511.4375",702588,2
"2020-03-17 00:00:00","144904.28125","555607.9375",703780,2
"2020-03-18 00:00:00","157767.546875","479340.875",683062,2
"2020-03-19 00:00:00","155859.5625","462832.03125",640186,2
"2020-03-20 00:00:00","163800.96875","464949.34375",645430,2
"2020-03-21 00:00:00","169703.375","399103.8125",610836,2
"2020-03-22 00:00:00","169963.578125","366437.1875",581606,2
"2020-03-23 00:00:00","168260.625","450439",651290,2
"2020-03-24 00:00:00","169190.5","461082.78125",662046,2
"2020-03-25 00:00:00","174181.8125","416853.09375",662589,2
"2020-03-26 00:00:00","150760.390625","529870.1875",658767,2
"2020-03-27 00:00:00","164378.765625","452010.3125",664825,2
"2020-03-28 00:00:00","164943.984375","393945.90625",603212,2
"2020-03-29 00:00:00","151754.984375","442642.71875",537245,2
"2020-03-30 00:00:00","171419.140625","504581.53125",604448,2
"2020-03-31 00:00:00","171084.375","483509.6875",604859,2
"2020-04-01 00:00:00","181530.828125","405307.84375",598365,2
"2020-04-02 00:00:00","179220.015625","430277.78125",597333,2
"2020-04-03 00:00:00","184806.375","444160.125",583171,2
"2020-04-04 00:00:00","170209.484375","446138.25",541558,2
"2020-04-05 00:00:00","167229.484375","433590.28125",517700,2
"2020-04-06 00:00:00","187742.5","364127.28125",567321,2
"2020-04-07 00:00:00","181891.3125","360822.625",566454,2
"2020-04-08 00:00:00","178663.28125","356080.53125",554076,2
"2020-04-09 00:00:00","182624.375","345941.03125",529108,2
